,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,name
0,0.693,0.632,4,-4.52,1,0.026,0.702,0.0,0.0985,0.365,129.977,audio_features,12ad0oPQaR6X6Jcoqz8rcz,spotify:track:12ad0oPQaR6X6Jcoqz8rcz,https://api.spotify.com/v1/tracks/12ad0oPQaR6X6Jcoqz8rcz,https://api.spotify.com/v1/audio-analysis/12ad0oPQaR6X6Jcoqz8rcz,293849,4,Again
0,0.504,0.526,0,-6.585,1,0.0339,0.468,9.62e-05,0.179,0.168,75.02,audio_features,4LnRLsKhypMfOqExy6QanW,spotify:track:4LnRLsKhypMfOqExy6QanW,https://api.spotify.com/v1/tracks/4LnRLsKhypMfOqExy6QanW,https://api.spotify.com/v1/audio-analysis/4LnRLsKhypMfOqExy6QanW,350120,4,remember
0,0.398,0.803,7,-3.224,1,0.0594,0.0255,0.0,0.0591,0.519,168.978,audio_features,47Old3TEOc2v4eOOv5pA6H,spotify:track:47Old3TEOc2v4eOOv5pA6H,https://api.spotify.com/v1/tracks/47Old3TEOc2v4eOOv5pA6H,https://api.spotify.com/v1/audio-analysis/47Old3TEOc2v4eOOv5pA6H,259600,4,嘘じゃない
0,0.492,0.773,6,-3.574,0,0.0422,0.0197,0.0,0.0574,0.443,130.022,audio_features,4Bamu5HdJivM0dhPTvuxyg,spotify:track:4Bamu5HdJivM0dhPTvuxyg,https://api.spotify.com/v1/tracks/4Bamu5HdJivM0dhPTvuxyg,https://api.spotify.com/v1/audio-analysis/4Bamu5HdJivM0dhPTvuxyg,239500,4,慈雨のくちづけ
0,0.613,0.857,7,-5.272,1,0.0271,0.0686,7.93e-05,0.256,0.698,147.974,audio_features,7FpABRyv5TaZz0llkhjPgc,spotify:track:7FpABRyv5TaZz0llkhjPgc,https://api.spotify.com/v1/tracks/7FpABRyv5TaZz0llkhjPgc,https://api.spotify.com/v1/audio-analysis/7FpABRyv5TaZz0llkhjPgc,250792,4,色香水
0,0.485,0.888,11,-3.326,1,0.0489,0.00277,1.16e-06,0.373,0.282,142.983,audio_features,0f5hcKLCRgpdVV424X4XDQ,spotify:track:0f5hcKLCRgpdVV424X4XDQ,https://api.spotify.com/v1/tracks/0f5hcKLCRgpdVV424X4XDQ,https://api.spotify.com/v1/audio-analysis/0f5hcKLCRgpdVV424X4XDQ,264667,4,白銀
0,0.708,0.721,1,-3.815,0,0.0718,0.049,0.0,0.0731,0.525,97.992,audio_features,7kiWVIA95A2H7TMYSrA0b5,spotify:track:7kiWVIA95A2H7TMYSrA0b5,https://api.spotify.com/v1/tracks/7kiWVIA95A2H7TMYSrA0b5,https://api.spotify.com/v1/audio-analysis/7kiWVIA95A2H7TMYSrA0b5,212147,4,Hands Up to the Sky
0,0.619,0.802,0,-6.618,1,0.0629,0.0831,0.0,0.361,0.535,109.982,audio_features,3oQaOjaIYPsnJbGNzXcIID,spotify:track:3oQaOjaIYPsnJbGNzXcIID,https://api.spotify.com/v1/tracks/3oQaOjaIYPsnJbGNzXcIID,https://api.spotify.com/v1/audio-analysis/3oQaOjaIYPsnJbGNzXcIID,231386,4,BOY
0,0.577,0.349,10,-6.049,1,0.032,0.885,2.45e-05,0.0777,0.409,129.952,audio_features,2GbqVrrJzEqVjMvRgbmBBG,spotify:track:2GbqVrrJzEqVjMvRgbmBBG,https://api.spotify.com/v1/tracks/2GbqVrrJzEqVjMvRgbmBBG,https://api.spotify.com/v1/audio-analysis/2GbqVrrJzEqVjMvRgbmBBG,342707,4,星瞬~Star Wink~
0,0.597,0.895,8,-4.225,0,0.173,0.0463,0.0,0.299,0.498,134.985,audio_features,5RmtuRIe8FJg9FRegwCqzW,spotify:track:5RmtuRIe8FJg9FRegwCqzW,https://api.spotify.com/v1/tracks/5RmtuRIe8FJg9FRegwCqzW,https://api.spotify.com/v1/audio-analysis/5RmtuRIe8FJg9FRegwCqzW,241867,4,EVERBLUE
